SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202541;30;2;2;46;5021853
202541;30;4;2;9;7123618.10
202541;30;5;2;9;7123618.10
202541;31;1;2;5;24.66
202541;31;2;2;4;3945.97
202541;31;14;2;19;10273.08
202541;31;14;3;7;27019
202541;32;1;2;3;2150
202541;32;1;3;1;10246
202541;32;2;2;4;3810.12
202541;32;3;2;4;80320
202541;32;4;2;15;5383.75
202541;32;5;2;15;5383.75
202541;33;1;2;2;200
202541;33;2;2;1;32
202541;33;4;2;5;31001.04
202541;33;5;2;5;31001.04
202541;33;9;2;2;40000
202541;40;2;2;1;5000000
202541;40;3;2;17;314950.55
202541;40;3;3;1;2600
202542;3;1;2;2;2
202542;3;2;2;1;4
202542;3;3;2;8;21.80
202542;3;3;6;2;8.80
202542;4;1;2;43826;9142224505.83
202542;4;1;3;67;10638240.79
202542;4;2;2;74680;13694401406.97
202542;4;3;2;2922;48457759.97
202542;4;3;3;63;1367613.19
202542;4;3;6;2;80447
202542;4;4;2;218;32257873.58
202542;4;5;2;218;32257873.58
202542;5;1;2;905319;40339647596.05
202542;5;1;3;2786;178524830.75
202542;5;2;2;1911506;54723075967.04
202542;5;3;2;50693;820021440.16
202542;5;3;3;1413;21944966.61
202542;5;3;6;37;1700924.80
202542;5;3;7;2;26875
202542;5;4;2;1011;83618756.28
202542;5;5;2;1011;83618756.28
202542;6;2;2;3;270000000
202542;6;3;2;11649;263458609.44
202542;6;3;3;546;16368084.08
202542;6;3;6;83;2633578.59
202542;8;1;2;67;22860368.90
202542;8;1;3;18;47729954.99
202542;8;2;2;354;27921347
202542;9;1;2;3701;42873335.70
202542;9;1;3;8;96650
202542;9;2;2;9402;84567691.06
202542;9;3;2;818;9675845.33
202542;9;3;3;3;13350
202542;9;3;6;4;2696
202542;9;3;7;1;2
202542;9;4;2;47;904701
202542;9;5;2;47;904701
202542;9;7;2;9930;35610498
202542;9;13;2;1;100
202542;11;1;3;1;10000
202542;11;2;2;2;10000
202542;13;1;2;1369;141795012.68
202542;13;1;3;1;378981
202542;13;2;2;58;44097918.11
202542;13;3;2;2;82982.50
202542;13;4;2;7;2057000
202542;13;5;2;7;2057000
202542;14;1;2;520;816315580.41
202542;14;1;3;6;97338.02
202542;14;2;2;920;824887093.65
202542;14;3;2;26;612791.28
202542;14;4;2;1501;863328499.73
202542;14;5;2;1501;863328499.73
202542;15;1;2;1542;460024799.10
202542;15;1;3;2;869982.24
202542;15;2;2;1338;448433954.19
202542;15;4;2;1804;516872631.33
202542;15;5;2;1804;516872631.33
202542;16;1;2;1;7500
202542;16;2;2;2;12001456
202542;16;3;2;130;5599439.29
202542;16;3;3;5;177226.60
202542;18;2;2;1208;660734059.64
202542;18;3;2;26362;673671175.14
202542;18;3;3;200;10973795.21
202542;18;3;6;61;1779122.09
202542;19;1;2;11;35791794.69
202542;19;2;2;12;1270700
202542;20;1;2;124;15272317.24
202542;20;1;3;2;155430
202542;20;2;2;179;13053379.41
202542;20;9;2;96;10382683.11
202542;20;9;5;6;57300
202542;20;10;2;54;8981.13
202542;24;1;2;79992;14023011725.62
202542;24;1;3;1256;3575588883.37
202542;24;2;2;71730;13719111550.59
